C copy string: r=a:bc;s=a:bdr;ars,brs,crs,drs; ineq: base20.txt
I  686.16] Elapsed: 11:26, vertices: 3184, facets final: 1085, pending: 40713, pool: 300
I  691.23] Elapsed: 11:31, vertices: 3213, facets final: 1109, pending: 40334, pool: 300
I  696.36] Elapsed: 11:36, vertices: 3241, facets final: 1139, pending: 40018, pool: 300
I  701.42] Elapsed: 11:41, vertices: 3269, facets final: 1161, pending: 39706, pool: 300
I  706.56] Elapsed: 11:47, vertices: 3297, facets final: 1181, pending: 39550, pool: 300
I  711.60] Elapsed: 11:52, vertices: 3324, facets final: 1201, pending: 39150, pool: 300
I  716.72] Elapsed: 11:57, vertices: 3350, facets final: 1211, pending: 38474, pool: 300
I  721.79] Elapsed: 12:02, vertices: 3376, facets final: 1236, pending: 37948, pool: 299
I  726.91] Elapsed: 12:07, vertices: 3402, facets final: 1260, pending: 37331, pool: 300
I  732.10] Elapsed: 12:12, vertices: 3428, facets final: 1287, pending: 36679, pool: 300
I  737.11] Elapsed: 12:17, vertices: 3453, facets final: 1308, pending: 36042, pool: 300
I  742.16] Elapsed: 12:22, vertices: 3486, facets final: 1343, pending: 35815, pool: 300
I  747.19] Elapsed: 12:27, vertices: 3518, facets final: 1377, pending: 35114, pool: 300
I  752.25] Elapsed: 12:32, vertices: 3551, facets final: 1400, pending: 34702, pool: 300
I  757.37] Elapsed: 12:37, vertices: 3583, facets final: 1430, pending: 34549, pool: 300
I  762.40] Elapsed: 12:42, vertices: 3613, facets final: 1457, pending: 34537, pool: 299
I  767.50] Elapsed: 12:48, vertices: 3645, facets final: 1505, pending: 34289, pool: 300
I  772.57] Elapsed: 12:53, vertices: 3674, facets final: 1542, pending: 33892, pool: 300
I  777.69] Elapsed: 12:58, vertices: 3704, facets final: 1578, pending: 33609, pool: 300
I  782.85] Elapsed: 13:03, vertices: 3735, facets final: 1612, pending: 33123, pool: 300
I  787.97] Elapsed: 13:08, vertices: 3765, facets final: 1673, pending: 32769, pool: 300
I  793.04] Elapsed: 13:13, vertices: 3794, facets final: 1728, pending: 32685, pool: 300
I  798.05] Elapsed: 13:18, vertices: 3822, facets final: 1766, pending: 32250, pool: 299
I  803.05] Elapsed: 13:23, vertices: 3850, facets final: 1814, pending: 31927, pool: 300
I  808.18] Elapsed: 13:28, vertices: 3878, facets final: 1886, pending: 31307, pool: 300
I  813.25] Elapsed: 13:33, vertices: 3905, facets final: 1920, pending: 30965, pool: 300
I  818.41] Elapsed: 13:38, vertices: 3934, facets final: 1958, pending: 30597, pool: 300
I  823.44] Elapsed: 13:43, vertices: 3962, facets final: 1996, pending: 30122, pool: 300
I  828.44] Elapsed: 13:48, vertices: 3998, facets final: 2068, pending: 29871, pool: 299
I  833.49] Elapsed: 13:53, vertices: 4039, facets final: 2135, pending: 29473, pool: 299
I  838.51] Elapsed: 13:59, vertices: 4079, facets final: 2202, pending: 28952, pool: 300
I  843.53] Elapsed: 14:04, vertices: 4120, facets final: 2295, pending: 28716, pool: 300
I  848.63] Elapsed: 14:09, vertices: 4160, facets final: 2376, pending: 28240, pool: 300
I  853.64] Elapsed: 14:14, vertices: 4199, facets final: 2479, pending: 27869, pool: 300
I  858.69] Elapsed: 14:19, vertices: 4238, facets final: 2578, pending: 27482, pool: 299
I  863.70] Elapsed: 14:24, vertices: 4277, facets final: 2694, pending: 27119, pool: 300
I  868.82] Elapsed: 14:29, vertices: 4315, facets final: 2788, pending: 26869, pool: 300
I  873.91] Elapsed: 14:34, vertices: 4353, facets final: 2866, pending: 26389, pool: 299
I  878.94] Elapsed: 14:39, vertices: 4390, facets final: 2980, pending: 26074, pool: 300
I  883.96] Elapsed: 14:44, vertices: 4427, facets final: 3087, pending: 25739, pool: 299
I  888.96] Elapsed: 14:49, vertices: 4464, facets final: 3203, pending: 25268, pool: 297
I  894.01] Elapsed: 14:54, vertices: 4501, facets final: 3291, pending: 24891, pool: 298
I  899.08] Elapsed: 14:59, vertices: 4538, facets final: 3453, pending: 24546, pool: 299
I  904.17] Elapsed: 15:04, vertices: 4575, facets final: 3614, pending: 24066, pool: 299
I  909.25] Elapsed: 15:09, vertices: 4611, facets final: 3768, pending: 23709, pool: 299
I  914.26] Elapsed: 15:14, vertices: 4647, facets final: 3927, pending: 23238, pool: 298
I  919.33] Elapsed: 15:19, vertices: 4683, facets final: 4130, pending: 22743, pool: 299
I  924.37] Elapsed: 15:24, vertices: 4720, facets final: 4255, pending: 22497, pool: 300
I  929.37] Elapsed: 15:29, vertices: 4756, facets final: 4434, pending: 22109, pool: 299
I  934.44] Elapsed: 15:34, vertices: 4792, facets final: 4680, pending: 21619, pool: 300
I  939.47] Elapsed: 15:39, vertices: 4829, facets final: 4799, pending: 21266, pool: 300
I  944.47] Elapsed: 15:44, vertices: 4865, facets final: 5004, pending: 20944, pool: 300
I  949.54] Elapsed: 15:50, vertices: 4901, facets final: 5202, pending: 20539, pool: 300
I  954.58] Elapsed: 15:55, vertices: 4938, facets final: 5380, pending: 20262, pool: 300
I  959.58] Elapsed: 16:00, vertices: 4974, facets final: 5573, pending: 19932, pool: 300
I  964.65] Elapsed: 16:05, vertices: 5009, facets final: 5873, pending: 19506, pool: 298
