C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I 2197.37] Elapsed: 36:37, vertices: 244, facets final: 76, pending: 2676
I 2202.43] Elapsed: 36:42, vertices: 246, facets final: 76, pending: 2723
I 2209.18] Elapsed: 36:49, vertices: 247, facets final: 76, pending: 2749
I 2217.09] Elapsed: 36:57, vertices: 248, facets final: 76, pending: 2771
I 2226.41] Elapsed: 37:06, vertices: 250, facets final: 76, pending: 2795
I 2232.69] Elapsed: 37:13, vertices: 251, facets final: 76, pending: 2798
I 2242.84] Elapsed: 37:23, vertices: 252, facets final: 76, pending: 2813
I 2253.80] Elapsed: 37:34, vertices: 254, facets final: 76, pending: 2814
I 2261.94] Elapsed: 37:42, vertices: 256, facets final: 76, pending: 2832
I 2270.87] Elapsed: 37:51, vertices: 257, facets final: 77, pending: 2830
I 2276.35] Elapsed: 37:56, vertices: 257, facets final: 78, pending: 2829
I 2284.03] Elapsed: 38:04, vertices: 257, facets final: 78, pending: 2829
I 2296.49] Elapsed: 38:16, vertices: 258, facets final: 79, pending: 2809
I 2305.13] Elapsed: 38:25, vertices: 258, facets final: 79, pending: 2809
I 2314.14] Elapsed: 38:34, vertices: 259, facets final: 79, pending: 2805
I 2324.16] Elapsed: 38:44, vertices: 260, facets final: 79, pending: 2777
I 2331.00] Elapsed: 38:51, vertices: 262, facets final: 79, pending: 2809
I 2337.34] Elapsed: 38:57, vertices: 263, facets final: 79, pending: 2809
I 2343.61] Elapsed: 39:04, vertices: 264, facets final: 79, pending: 2809
I 2349.67] Elapsed: 39:10, vertices: 265, facets final: 80, pending: 2784
I 2357.45] Elapsed: 39:17, vertices: 265, facets final: 80, pending: 2784
I 2363.27] Elapsed: 39:23, vertices: 267, facets final: 81, pending: 2797
I 2370.10] Elapsed: 39:30, vertices: 267, facets final: 82, pending: 2796
I 2376.86] Elapsed: 39:37, vertices: 269, facets final: 82, pending: 2808
Warning: numerical instability (primal simplex, phase II)
I 2391.03] Elapsed: 39:51, vertices: 270, facets final: 83, pending: 2813
I 2398.31] Elapsed: 39:58, vertices: 270, facets final: 83, pending: 2813
I 2405.81] Elapsed: 40:06, vertices: 271, facets final: 83, pending: 2815
I 2410.91] Elapsed: 40:11, vertices: 272, facets final: 83, pending: 2817
I 2416.18] Elapsed: 40:16, vertices: 273, facets final: 83, pending: 2799
I 2425.94] Elapsed: 40:26, vertices: 274, facets final: 83, pending: 2790
