# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
8, 2,2,0, 9,4,7, 0,12,0,0, rs=ac:bd;t=d:bcr;u=t:rs, dfz:95:115
7, 1,9,9, 0,14,14, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=(ds):abt, dfz:87:116, S
4, 1,10,6, 3,2,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(rt):ad, dfz:117:117, S
10, 0,18,1, 16,3,16, 0,0,0,0, rs=cd:ab;t=a:bcs;u=b:adst, dfz:43:118, S
9, 3,22,10, 4,10,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bdst, dfz:119:119
3, 0,0,0, 4,2,2, 0,2,0,0, rs=ac:bd;t=d:abs;u=t:adr, dfz:120:120
7, 2,16,10, 3,2,0, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=(rt):ad, dfz:117:121, S
6, 3,4,6, 0,4,3, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:122
4, 0,0,0, 4,5,2, 0,4,0,0, rs=ac:bd;t=d:abs;u=(bt):adr, dfz:123:123, S
13, 24,22,3, 4,6,0, 0,0,0,0, rs=cd:ab;t=c:ar;u=d:art, dfz:36:124
8, 2,23,12, 0,1,4, 0,0,0,0, rs=cd:ab;t=(cr):ab;u=a:bcst, dfz:125:125
6, 1,7,7, 0,11,11, 0,0,0,0, rs=cd:ab;t=(cs):ab;u=(ds):abt, dfz:87:126, S
11, 18,3,19, 0,21,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=b:acrt, dfz:106:127, S
9, 3,8,13, 0,9,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=a:bcrt, dfz:128:128
4, 3,5,2, 4,2,0, 0,0,0,0, rs=cd:ab;t=r:ad;u=r:adt, dfz:129:129
4, 7,1,7, 0,7,1, 0,0,0,0, rs=cd:ab;t=a:bcs;u=b:acrt, dfz:106:130
8, 6,6,7, 0,4,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=c:abrst, dfz:131:131, S
6, 0,5,4, 2,5,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acs, dfz:132:132
